host_id,ip_address,mac_address,manufacturer
1,10.238.97.8,001a.a0aa.cc75,Dell Inc.
2,10.238.97.16,f4d1.08ff.1853,Intel Corporate
3,10.238.97.17,f4d4.88cd.6742,Apple Inc.
10.169.143.5,001a.a0aa.cd75,Dell Inc.
10.169.143.27,f4d1.08ff.1753,Intel Corporate
10.169.143.28,f4d4.88cd.6722,Apple, Inc.
10.169.143.29,f4e3.fbad.cf34,HUAWEI TECHNOLOGIES CO.,LTD
10.169.143.30,001a.11a8.70e0,Google, Inc.
10.169.143.31,f49f.5472.4739,Samsung Electronics Co.,Ltd
10.169.143.245,f481.390c.b7e9,CANON INC.
10.169.143.246,0001.6434.a0ec,Cisco Systems, Inc
10.169.143.247,0000.0878.d81d,XEROX CORPORATION
